idx,id,age_split,group,age,difficulty,d,cda,fmt
0,1,2,1,26,1,4.86,1.0,0.8
1,2,2,1,29,1,4.87,0.7,0.34
2,3,2,1,27,1,4.71,0.84,0.31
3,4,2,1,25,1,4.61,1.59,0.56
4,5,2,1,24,1,4.71,1.59,-1.18
5,6,2,1,25,1,3.82,0.84,-1.12
6,7,1,1,21,1,4.23,1.5,0.9
7,8,1,1,21,1,4.52,0.45,-0.16
8,9,1,1,19,1,4.02,2.19,1.0
9,10,1,1,21,1,4.26,2.15,1.33
10,11,1,1,19,1,4.62,1.89,0.61
11,12,4,2,62,1,4.6,0.15,-0.33
12,13,4,2,61,1,3.78,0.46,0.65
13,14,4,2,63,1,4.43,1.17,0.18
14,15,3,2,51,1,4.86,1.36,0.23
15,16,3,2,48,1,3.88,1.38,-0.17
16,17,3,2,57,1,4.7,1.03,0.06
17,18,3,2,59,1,4.14,1.5,0.09
18,19,4,2,63,1,4.45,0.48,0.54
19,20,3,2,58,1,4.13,0.65,-1.12
20,21,3,2,55,1,4.61,2.03,-0.01
21,22,3,2,58,1,4.87,-0.32,0.49
22,23,4,2,68,1,3.95,1.7,0.77
23,24,4,2,68,1,3.32,0.14,-0.47
0,1,2,1,26,2,4.89,2.04,0.49
1,2,2,1,29,2,4.9,0.73,0.04
2,3,2,1,27,2,4.29,1.36,0.22
3,4,2,1,25,2,4.89,1.79,0.53
4,5,2,1,24,2,3.63,0.75,-1.21
5,6,2,1,25,2,4.18,2.12,-0.35
6,7,1,1,21,2,3.61,2.26,1.06
7,8,1,1,21,2,3.88,1.38,-0.58
8,9,1,1,19,2,3.52,3.26,1.03
9,10,1,1,21,2,4.72,1.36,1.37
10,11,1,1,19,2,4.26,2.09,0.71
11,12,4,2,62,2,3.91,0.44,-0.51
12,13,4,2,61,2,3.5,0.96,0.39
13,14,4,2,63,2,3.43,1.52,0.24
14,15,3,2,51,2,4.46,1.17,0.26
15,16,3,2,48,2,3.33,1.41,-0.16
16,17,3,2,57,2,3.82,1.7,0.16
17,18,3,2,59,2,3.83,0.75,0.22
18,19,4,2,63,2,3.9,1.13,0.48
19,20,3,2,58,2,2.88,1.87,-1.79
20,21,3,2,55,2,4.25,1.73,-0.34
21,22,3,2,58,2,4.34,0.93,0.25
22,23,4,2,68,2,3.27,1.87,0.89
23,24,4,2,68,2,2.87,1.0,-0.78
0,1,2,1,26,3,4.55,1.81,0.29
1,2,2,1,29,3,4.81,0.8,0.28
2,3,2,1,27,3,2.92,1.18,-0.07
3,4,2,1,25,3,4.39,2.25,0.26
4,5,2,1,24,3,3.11,0.98,-1.66
5,6,2,1,25,3,2.97,3.0,-0.03
6,7,1,1,21,3,3.05,3.4,0.76
7,8,1,1,21,3,4.18,3.39,-0.43
8,9,1,1,19,3,3.26,3.12,0.66
9,10,1,1,21,3,4.65,1.84,1.57
10,11,1,1,19,3,4.82,1.45,1.02
11,12,4,2,62,3,3.15,1.01,-0.55
12,13,4,2,61,3,2.29,0.55,0.42
13,14,4,2,63,3,2.75,1.0,0.45
14,15,3,2,51,3,4.05,1.02,0.62
15,16,3,2,48,3,2.45,1.22,-0.25
16,17,3,2,57,3,3.8,1.46,0.28
17,18,3,2,59,3,2.59,1.55,-0.18
18,19,4,2,63,3,3.02,2.25,0.21
19,20,3,2,58,3,2.32,2.01,-1.47
20,21,3,2,55,3,2.83,3.91,-0.23
21,22,3,2,58,3,4.56,1.2,0.61
22,23,4,2,68,3,2.82,2.86,0.63
23,24,4,2,68,3,1.56,0.81,-0.46
